asset_id,token_name,as_of_date,price_in_usd
0,ALGO,2022-03-10,0.7684313642035996
0,ALGO,2022-03-11,0.7320485043974597
0,ALGO,2022-03-12,0.703151247928334
0,ALGO,2022-03-13,0.704328795291338
0,ALGO,2022-03-14,0.6809404738399938
0,ALGO,2022-03-15,0.7065505672460474
0,ALGO,2022-03-16,0.716795571449506
0,ALGO,2022-03-17,0.7376185547779449
0,ALGO,2022-03-18,0.742677714253009
0,ALGO,2022-03-19,0.7567733707973402
0,ALGO,2022-03-20,0.765119638718842
0,ALGO,2022-03-21,0.7415587513645111
0,ALGO,2022-03-22,0.8247764851190593
0,ALGO,2022-03-23,0.8241745698781933
0,ALGO,2022-03-24,0.8372851007122573
0,ALGO,2022-03-25,0.8907240804104861
0,ALGO,2022-03-26,0.8895169193068121
0,ALGO,2022-03-27,0.9140679595688012
0,ALGO,2022-03-28,0.9461538943589825
0,ALGO,2022-03-29,0.9079403802026672
0,ALGO,2022-03-30,0.9215390158709844
0,ALGO,2022-03-31,0.9281018971760132
0,ALGO,2022-04-01,0.9258750513906244
0,ALGO,2022-04-02,0.939483594040761
0,ALGO,2022-04-03,0.9051738636232868
0,ALGO,2022-04-04,0.9321466599189986
0,ALGO,2022-04-05,0.8828901421950622
0,ALGO,2022-04-06,0.8359190857809823
0,ALGO,2022-04-07,0.769198782398746
0,ALGO,2022-04-08,0.802088258568725
0,ALGO,2022-04-09,0.7565550443796915
0,ALGO,2022-04-10,0.7881859578499436
0,ALGO,2022-04-11,0.7564366348959007
0,ALGO,2022-04-12,0.6915141128282685
0,ALGO,2022-04-13,0.7272032950638653
0,ALGO,2022-04-14,0.7462805233194983
0,ALGO,2022-04-15,0.726669279340225
0,ALGO,2022-04-16,0.7404247456493694
0,ALGO,2022-04-17,0.7454631699975339
0,ALGO,2022-04-18,0.7107518513460597
0,ALGO,2022-04-19,0.7386248724268109
0,ALGO,2022-04-20,0.7605665630755144
0,ALGO,2022-04-21,0.7407059677767247
0,ALGO,2022-04-22,0.7184680975740002
0,ALGO,2022-04-23,0.7211985504950638
0,ALGO,2022-04-24,0.7106236007443549
0,ALGO,2022-04-25,0.7020836166747793
0,ALGO,2022-04-26,0.7039456986135004
0,ALGO,2022-04-27,0.6562999022198774
0,ALGO,2022-04-28,0.670968573215448
0,ALGO,2022-04-29,0.6980250222660831
0,ALGO,2022-04-30,0.637369370127301
0,ALGO,2022-05-01,0.5699178893927581
0,ALGO,2022-05-02,0.6056884400021749
0,ALGO,2022-05-03,0.6206035493914351
0,ALGO,2022-05-04,0.6688598491206308
0,ALGO,2022-05-05,0.7142466512016528
0,ALGO,2022-05-06,0.6365145950314303
0,ALGO,2022-05-07,0.6991340816200559
0,ALGO,2022-05-08,0.7526696398523698
0,ALGO,2022-05-09,0.725198694586116
0,ALGO,2022-05-10,0.5812633824209081
0,ALGO,2022-05-11,0.5843125618254269
0,ALGO,2022-05-12,0.4430222069367525
0,ALGO,2022-05-13,0.4185500408670682
0,ALGO,2022-05-14,0.4421090463123908
0,ALGO,2022-05-15,0.4646786154632492
0,ALGO,2022-05-16,0.4914107146647032
0,ALGO,2022-05-17,0.457926519384557
0,ALGO,2022-05-18,0.4971542971950161
0,ALGO,2022-05-19,0.435908108522482
0,ALGO,2022-05-20,0.4474914094625655
0,ALGO,2022-05-21,0.4358735657776414
0,ALGO,2022-05-22,0.4344399912377303
0,ALGO,2022-05-23,0.4445629856749895
0,ALGO,2022-05-24,0.4158795050525258
0,ALGO,2022-05-25,0.4178429837674305
0,ALGO,2022-05-26,0.4048021284414836
0,ALGO,2022-05-27,0.3816654141360926
0,ALGO,2022-05-28,0.3594871009780357
0,ALGO,2022-05-29,0.3678912327363033
0,ALGO,2022-05-30,0.378800348463802
0,ALGO,2022-05-31,0.4195318729719836
0,ALGO,2022-06-01,0.4112995533249612
0,ALGO,2022-06-02,0.3853956362037866
0,ALGO,2022-06-03,0.3954000562663152
0,ALGO,2022-06-04,0.381472237819537
0,ALGO,2022-06-05,0.3885694272122069
0,ALGO,2022-06-06,0.3911457241989939
0,ALGO,2022-06-07,0.4105790927324823
0,ALGO,2022-06-08,0.4000476277530973
0,ALGO,2022-06-09,0.4175636339054187
0,ALGO,2022-06-10,0.4037431034564799
0,ALGO,2022-06-11,0.3690140633721939
0,ALGO,2022-06-12,0.3469419979160577
0,ALGO,2022-06-13,0.3272222126989438
0,ALGO,2022-06-14,0.3023030088831079
0,ALGO,2022-06-15,0.309695425157468
0,ALGO,2022-06-16,0.3399670168559316
0,ALGO,2022-06-17,0.301836590271426
0,ALGO,2022-06-18,0.3115327504688511
0,ALGO,2022-06-19,0.2968347087216992
0,ALGO,2022-06-20,0.3144063884895217
0,ALGO,2022-06-21,0.3214001421451178
0,ALGO,2022-06-22,0.3256755272532873
0,ALGO,2022-06-23,0.3150711119558376
0,ALGO,2022-06-24,0.3360767122104938
0,ALGO,2022-06-25,0.3524487804351571
0,ALGO,2022-06-26,0.3511304587467317
0,ALGO,2022-06-27,0.3338040176307607
0,ALGO,2022-06-28,0.3302969267080977
0,ALGO,2022-06-29,0.3132690354609213
0,ALGO,2022-06-30,0.2995920864264658
0,ALGO,2022-07-01,0.3140435754659345
0,ALGO,2022-07-02,0.3058572125177352
0,ALGO,2022-07-03,0.308866391797086
0,ALGO,2022-07-04,0.3103850027067458
0,ALGO,2022-07-05,0.3202717639978669
0,ALGO,2022-07-06,0.3080736099307788
0,ALGO,2022-07-07,0.3114991327048053
0,ALGO,2022-07-08,0.3230695955494227
0,ALGO,2022-07-09,0.3179529389012859
0,ALGO,2022-07-10,0.3220611144397725
0,ALGO,2022-07-11,0.3101091215077117
0,ALGO,2022-07-12,0.2978479321874718
0,ALGO,2022-07-13,0.2940162811217842
0,ALGO,2022-07-14,0.3100310358586193
0,ALGO,2022-07-15,0.330457639115142
0,ALGO,2022-07-16,0.3276372808391129
0,ALGO,2022-07-17,0.3397435669799017
0,ALGO,2022-07-18,0.3380193980098066
0,ALGO,2022-07-19,0.35946453663743
0,ALGO,2022-07-20,0.3715882145567462
0,ALGO,2022-07-21,0.3457023408013321
0,ALGO,2022-07-22,0.3489092926722249
0,ALGO,2022-07-23,0.3382710577962862
0,ALGO,2022-07-24,0.3361748412296408
0,ALGO,2022-07-25,0.3414628819480536
0,ALGO,2022-07-26,0.3125354549875143
0,ALGO,2022-07-27,0.311625776925902
0,ALGO,2022-07-28,0.3284954961233376
0,ALGO,2022-07-29,0.3369707540317236
0,ALGO,2022-07-30,0.3372693727012007
0,ALGO,2022-07-31,0.3377724541001773
0,ALGO,2022-08-01,0.3368291526439413
0,ALGO,2022-08-02,0.3429080695157536
0,ALGO,2022-08-03,0.3287967137629277
0,ALGO,2022-08-04,0.3280343917146124
0,ALGO,2022-08-05,0.3382954472486522
0,ALGO,2022-08-06,0.3594107388020457
0,ALGO,2022-08-07,0.3510165055081102
0,ALGO,2022-08-08,0.3645404823258497
0,ALGO,2022-08-09,0.3681852525689792
0,ALGO,2022-08-10,0.3482560004782329
0,ALGO,2022-08-11,0.3656345359781754
0,ALGO,2022-08-12,0.3628219561276206
0,ALGO,2022-08-13,0.3666684859453741
0,ALGO,2022-08-14,0.3696268575934412
0,ALGO,2022-08-15,0.3665435832342568
0,ALGO,2022-08-16,0.3603973019743275
0,ALGO,2022-08-17,0.3552924547640856
0,ALGO,2022-08-18,0.3418909319012066
0,ALGO,2022-08-19,0.332600317836798
0,ALGO,2022-08-20,0.3049901885415799
0,ALGO,2022-08-21,0.3017368068722384
0,ALGO,2022-08-22,0.3085421625898711
0,ALGO,2022-08-23,0.3040915829343026
0,ALGO,2022-08-24,0.3084399140925182
0,ALGO,2022-08-25,0.3028840167158699
0,ALGO,2022-08-26,0.3083418648640179
0,ALGO,2022-08-27,0.2834873791768917
0,ALGO,2022-08-28,0.2908661804162862
0,ALGO,2022-08-29,0.2850565138584367
0,ALGO,2022-08-30,0.2992227253263862
0,ALGO,2022-08-31,0.2921151024138562
0,ALGO,2022-09-01,0.2894547823246412
0,ALGO,2022-09-02,0.2948156653452468
0,ALGO,2022-09-03,0.3019532946474124
0,ALGO,2022-09-04,0.3033688052286425
0,ALGO,2022-09-05,0.3130984548397288
0,ALGO,2022-09-06,0.3053130338504656
0,ALGO,2022-09-07,0.2862070941752149
0,ALGO,2022-09-08,0.3002680727276327
0,ALGO,2022-09-09,0.3077547451393108
0,ALGO,2022-09-10,0.324173257532463
0,ALGO,2022-09-11,0.3225487273333192
0,ALGO,2022-09-12,0.3263596026211722
0,ALGO,2022-09-13,0.322539010792314
0,ALGO,2022-09-14,0.2970957661649365
0,ALGO,2022-09-15,0.3034827987798748
0,ALGO,2022-09-16,0.294844687240985
0,ALGO,2022-09-17,0.2977942607055108
0,ALGO,2022-09-18,0.3122053621051813
0,ALGO,2022-09-19,0.2934883629102932
0,ALGO,2022-09-20,0.3184847466919785
0,ALGO,2022-09-21,0.3301927408039827
0,ALGO,2022-09-22,0.3384268205439849
0,ALGO,2022-09-23,0.3720371178037001
0,ALGO,2022-09-24,0.4004746644996403
0,ALGO,2022-09-25,0.3845645042471304
0,ALGO,2022-09-26,0.3879553193045887
0,ALGO,2022-09-27,0.3682086999614531
0,ALGO,2022-09-28,0.354013429918779
0,ALGO,2022-09-29,0.3504633217721249
0,ALGO,2022-09-30,0.3551475416157027
0,ALGO,2022-10-01,0.3530542397717683
0,ALGO,2022-10-02,0.3550942752621902
0,ALGO,2022-10-03,0.3556648336101502
